,Date,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,7/1/18,4209,211,120484,274813,45265
1,7/2/18,2702,241,130122,275016,58633
2,7/3/18,2358,199,113998,275157,54882
3,7/4/18,5662,250,136287,275304,48368
4,7/5/18,3344,264,133659,275487,59471
5,7/6/18,2650,189,111660,275614,49504
6,7/7/18,7284,349,173852,275793,60916
7,7/8/18,6667,310,171826,275988,60486
8,7/9/18,3103,283,153650,276203,70063
9,7/10/18,2999,227,147441,276399,72501
10,7/11/18,3049,170,163349,276553,73011
11,7/12/18,3520,231,161182,276703,74857
12,7/13/18,3998,294,156285,276858,72113
13,7/14/18,7241,334,157266,277000,62556
14,7/15/18,5121,248,132234,277133,52295
15,7/16/18,3101,278,146307,277344,67072
16,7/17/18,1558,129,97913,277466,48495
17,7/18/18,3578,247,169481,277703,75706
18,7/19/18,3938,280,141327,277891,78004
19,7/20/18,4590,275,136511,278052,74539
20,7/21/18,6266,309,114977,278195,53651
21,7/22/18,4316,244,87253,278338,44284
22,7/23/18,2277,152,88170,278458,53074
23,7/24/18,2957,162,117924,278651,69754
24,7/25/18,1474,124,66587,278742,42988
25,7/26/18,3321,252,122885,278874,71065
26,7/27/18,2526,251,82987,278993,49224
27,7/28/18,7004,361,129505,279147,61543
28,7/29/18,7244,250,137343,279321,63472
29,7/30/18,3490,333,123639,279509,69512
30,7/31/18,3637,246,134233,279702,76253
31,8/1/18,2673,185,106881,279888,64467
32,8/2/18,2998,217,118282,280110,69711
33,8/3/18,3145,247,105765,280279,61962
34,8/4/18,5352,198,104541,280498,51200
35,8/5/18,6289,309,122656,280721,58379
36,8/6/18,3022,281,112585,280922,65686
37,8/7/18,2640,201,106678,281097,64351
38,8/8/18,2911,267,120473,281275,70577
39,8/9/18,3379,238,124150,281441,71976
40,8/10/18,4266,280,123534,281572,69617
41,8/11/18,2994,141,69505,281689,36607
42,8/12/18,6407,281,125265,281881,59834
43,8/13/18,1563,82,70501,281991,44273
44,8/14/18,2592,211,107144,282169,63733
45,8/15/18,3565,266,128453,282317,73124
46,8/16/18,3511,276,123444,282471,70825
47,8/17/18,3563,232,109405,282583,63316
48,8/18/18,6672,351,125508,282795,57284
49,8/19/18,3926,155,86651,282943,45874
50,8/20/18,3312,224,118793,283162,67589
51,8/21/18,3683,257,132261,283358,75214
52,8/22/18,3366,225,125978,283543,72614
53,8/23/18,3975,331,130310,283720,73877
54,8/24/18,4794,320,132952,283884,72894
55,8/25/18,7535,345,140537,284066,64683
56,8/26/18,6928,302,132223,284268,60954
57,8/27/18,3350,242,116967,284457,67630
58,8/28/18,2814,150,110486,284667,66638
59,8/29/18,2766,171,107006,284791,65903
60,8/30/18,3218,164,113385,284938,67900
61,8/31/18,3186,180,97818,285087,58922
62,9/1/18,6711,439,116904,285245,54318
63,9/2/18,5562,292,140923,285368,60828
64,9/3/18,6239,279,117164,285609,55067
65,9/4/18,2793,215,114264,285867,68655
66,9/5/18,2934,191,124919,286102,74981
67,9/6/18,2678,207,113123,286304,70264
68,9/7/18,3523,227,127470,286475,74586
69,9/8/18,5442,270,111254,286637,58284
70,9/9/18,895,16,30544,286752,19950
71,9/10/18,463,26,32472,286847,23949
72,9/11/18,2456,193,109380,286985,66552
73,9/12/18,1650,115,82748,287120,53241
74,9/13/18,2874,197,123401,287262,74054
75,9/14/18,3623,298,128288,287412,74330
76,9/15/18,7570,353,149524,287622,71185
77,9/16/18,7410,270,150281,287897,69515
78,9/17/18,2914,162,118809,288137,71340
79,9/18/18,1433,74,82768,288266,53077
80,9/19/18,3529,290,129089,288450,74372
81,9/20/18,3130,235,129385,288599,76803
82,9/21/18,3677,224,128273,288719,74940
83,9/22/18,7511,298,142121,289160,69133
84,9/23/18,4716,184,104944,289370,55494
85,9/24/18,2615,289,115888,289524,71631
86,9/25/18,506,65,35795,289591,25430
87,9/26/18,2423,296,110772,289698,68007
88,9/27/18,3044,399,126480,289829,75370
89,9/28/18,1986,296,90249,289911,57230
90,9/29/18,6960,906,145920,290170,69321
91,9/30/18,6367,675,139423,290467,66224
0,10/1/18,2618,307,120257,290631,71387
1,10/2/18,2666,195,122234,290788,73113
2,10/3/18,3141,199,129720,290947,76769
